,Title,Jornada,Ciudad,URL,Descripcion,Compañia,Nº Empleados,Rubro,País
103,,,,https://uy.linkedin.com/jobs/view/test-automation-developer-at-launchpad-technologies-inc-3608629424?refId=uE20wQpNDfvx64pmq1C3MQ%3D%3D&trackingId=4Frw8XYjVGzBpknE11scOg%3D%3D&position=4&pageNum=4&trk=public_jobs_jserp-result_search-card,,,,,
104,,,,https://uy.linkedin.com/jobs/view/gpon-engineer-uruguay-at-zte-corporation-3601553897?refId=uE20wQpNDfvx64pmq1C3MQ%3D%3D&trackingId=rQ0yvwpVeiEoO7Hf%2FxN4cQ%3D%3D&position=5&pageNum=4&trk=public_jobs_jserp-result_search-card,,,,,
105,,,,https://uy.linkedin.com/jobs/view/software-engineer-python-linux-packaging-at-canonical-3641745927?refId=uE20wQpNDfvx64pmq1C3MQ%3D%3D&trackingId=JIbUik0DRGLyc6WArmNX8g%3D%3D&position=6&pageNum=4&trk=public_jobs_jserp-result_search-card,,,,,
106,Junior Blockchain Developer (Remote Internship – IT),Prácticas,"Montevideo, Montevideo, Uruguay",https://uy.linkedin.com/jobs/view/junior-blockchain-developer-remote-internship-%E2%80%93-it-at-talentkompass-deutschland-3651758254?refId=uE20wQpNDfvx64pmq1C3MQ%3D%3D&trackingId=Q6rHTg7h610wyxyV1RnBkw%3D%3D&position=7&pageNum=4&trk=public_jobs_jserp-result_search-card,"LOCATION: Remote Work SCHEDULE: Part-time Are you passionate about blockchain technology and seeking an unparalleled opportunity to gain hands-on experience while working with a prestigious Management Consulting firm? TalentKompass Deutschland, a top Human Resources company based in Germany, is searching for a motivated Blockchain Development Intern to join our esteemed client. This remote position offers an exceptional chance for someone who is eager to learn and grow in a dynamic and fast-paced environment. As a Blockchain Development Intern, you will work closely with the consulting and development teams, where you will be responsible for a range of tasks, including designing, implementing, and testing blockchain solutions. You will have the extraordinary opportunity to learn from experienced professionals who will provide mentorship and guidance throughout the internship. With this internship, you will gain valuable experience in blockchain development, smart contracts, and teamwork – all essential skills for a successful career in this field. Responsibilities: Assist in the design and implementation of blockchain solutions and smart contracts Collaborate with cross-functional teams to gather requirements and develop solutions Conduct research on emerging blockchain trends, technologies, and platforms Participate in code reviews and contribute to the improvement of development processes Test and debug blockchain applications to ensure optimal performance and security Support the team with general administrative tasks as needed Contribute to the creation of technical documentation and user guides Requirements: Basic understanding of blockchain principles and development practices Familiarity with programming languages, such as Solidity, JavaScript, or Python, is a plus Excellent written and verbal communication skills in English Ability to work independently and as part of a team Strong analytical and problem-solving skills Knowledge of various blockchain platforms, such as Ethereum or Hyperledger, is a plus Experience with version control systems, such as Git, is a plus At TalentKompass Deutschland, we are committed to helping our interns develop their skills and reach their full potential. Our client is a reputable Management Consulting firm that will provide invaluable experience in a competitive industry. Don't miss this incredible opportunity to jump-start your career in blockchain development – apply now!",,,,
107,Semi-Senior Swift Developer,Jornada completa,Uruguay,https://uy.linkedin.com/jobs/view/semi-senior-swift-developer-at-sophilabs-3653254398?refId=uE20wQpNDfvx64pmq1C3MQ%3D%3D&trackingId=rIfAMNUjvjynEL%2B74HI0oQ%3D%3D&position=8&pageNum=4&trk=public_jobs_jserp-result_search-card,"A Typical Day As a  Semi-Senior Swift Developer , you will be in charge of designing, developing, and maintaining next-generation iOS apps. You will oversee the development of applications and their integrations with backend services. Qualifications Fluency in Swift. 3 years of relevant work experience in iOs mobile development. Collaborate with internal teams of developers and designers to determine, design, and develop new features. Ensure bug fixes before final release. Organize, automate, and maintain code quality. Good understanding of user interface design and user experience. Great interpersonal and communication skills Customer success-oriented Fluency in English is a must   Preferred qualifications Understanding of mobile development life cycle concepts. Excellent time management, problem-solving, and communication skills. Scrum knowledge Full-time and Remote availability   We offer 🚀 An opportunity to grow and develop your career with training, English support and courses, investment days, books, conference support, coaching, and 360 feedback. 🌱 A good work-life balance with a remote working policy and gym membership discount. If you share our commitment to delivering excellent client-focused service and putting customers first, enjoy working in teams, and are always looking to improve, join us!",,,,
108,,,,https://uy.linkedin.com/jobs/view/fullstack-engineer-net-react-at-montevideo-labs-3656885330?refId=uE20wQpNDfvx64pmq1C3MQ%3D%3D&trackingId=M4ch4PmdJkX%2F5blSHnTq%2Bg%3D%3D&position=9&pageNum=4&trk=public_jobs_jserp-result_search-card,,,,,
109,,,,https://uy.linkedin.com/jobs/view/front-end-developer-freelance-remote-at-braintrust-3656421392?refId=uE20wQpNDfvx64pmq1C3MQ%3D%3D&trackingId=sAvxuiDgbHy6qltQXRIOrQ%3D%3D&position=10&pageNum=4&trk=public_jobs_jserp-result_search-card,,,,,
110,,,,https://uy.linkedin.com/jobs/view/senior-python-developer-at-devsdata-tech-talent-llc-it-recruitment-3597011340?refId=uE20wQpNDfvx64pmq1C3MQ%3D%3D&trackingId=6CZj0Zmc0lGEPf3z7ISB7w%3D%3D&position=11&pageNum=4&trk=public_jobs_jserp-result_search-card,,,,,
111,Desarrollador Genexus Junior - Uruguay,Jornada completa,"Montevideo, Montevideo, Uruguay",https://uy.linkedin.com/jobs/view/desarrollador-genexus-junior-uruguay-at-ibm-3640362530?refId=uE20wQpNDfvx64pmq1C3MQ%3D%3D&trackingId=FWI%2F%2FiSiUtG8OTyM6NCmLg%3D%3D&position=12&pageNum=4&trk=public_jobs_jserp-result_search-card,"628410BR Introducción Conduzca a IBM hacia el futuro traduciendo los requisitos del sistema al diseño y desarrollo de sistemas personalizados en un entorno ágil. El éxito de IBM está en sus manos a medida que transforma necesidades comerciales vitales en código e impulsa la innovación. Su trabajo potenciará a IBM y a sus clientes a nivel mundial, colaborando e integrando el código en los sistemas empresariales. Tendrá acceso a lo último en educación, herramientas y tecnología, y una trayectoria profesional ilimitada con el líder mundial en tecnología. ¡Venga a IBM y provoque un impacto global! Su función y responsabilidades Diseño y desarrollo de soluciones utilizando la plataforma GeneXus. Apoyar al equipo y asegurar que se cumplan los plazos establecidos y los estándares de calidad. Apoyar en la resolución de problemas complejos en el código y brindar soluciones eficientes. Investigación de nuevas tecnologías y tendencias, y análisis de cómo se pueden utilizar para mejorar los productos y procesos existentes. Comunicación efectiva y colaboración con otros miembros del equipo. Experiencia profesional y técnica necesaria Mínimo 2 años de experiencia desarrollando en Genexus Experiencia profesional y técnica preferida Certificaciones y/o estudios relacionados a Genexus y/o en otras herramientas o lenguajes de IT Título universitario Acerca de la unidad de negocio IBM consulting es nuestra rama de negocio global de consultoría y servicios profesionales, con capacidades líderes en el mercado en la transformación de negocios y tecnología. Con sólida experiencia en muchos sectores, ofrecemos servicios de estrategia, experiencia, tecnología y operaciones a muchas de las empresas más innovadoras y prestigiosas del mundo. Nuestra gente se centra en acelerar los negocios de nuestros clientes a través del poder de la colaboración. Creemos en el potencial de una tecnología utilizada responsablemente para ayudar a las personas, nuestros clientes y el planeta. Tu vida @ IBM Entendemos que, en un entorno como el actual, con constantes avances tecnológicos, la dedicación al éxito de nuestros clientes, la habilidad para impulsar innovaciones relevantes y la confianza y la responsabilidad personal son parte inherente de nuestro trabajo como empleados de IBM, que nos mueve a ser los catalizadores de un mundo mejor. Trabajar en IBM implica la capacidad de aprender y avanzar, tanto personal como profesionalmente, así como de ser valiente y atreverse a experimentar cada día, todo ello en un entorno de confianza y apoyo en el que cada miembro de la plantilla tiene la oportunidad de crecer, sea cual sea su trayectoria personal o profesional previa. Nuestra plantilla posee mentalidad de crecimiento y una curiosidad siempre despierta, lo que la lleva a mostrarse muy receptiva ante los comentarios y ante cualquier oportunidad de aprender y desarrollar nuevas competencias, para así participar en una transformación constante, a nivel individual y empresarial. De los empleados de IBM, se espera que hagan comentarios que ayuden a otros compañeros a crecer, así como que colaboren entre ellos con una mentalidad de equipo que incluya distintas perspectivas y nos permita ofrecer los mejores resultados a nuestros clientes. La valentía que muestra cada día la plantilla de IBM para tomar decisiones críticas es fundamental para que IBM pueda actuar como catalizador del progreso. Los retos se afrontan con los recursos disponibles, con una actitud resolutiva y un esfuerzo constante por obtener siempre los mejores resultados. ¿Está preparado para ser empleado de IBM? Acerca de IBM El mayor invento de IBM son sus empleados. Creemos que mediante la aplicación de la información, la razón y la ciencia, podemos mejorar los negocios, la sociedad y la condición humana, poniendo en práctica una cloud híbrida abierta y una estrategia de IA para nuestros clientes y socios en todo el mundo. Gracias a una reinvención continua desde 1911, no solo somos una de las organizaciones corporativas más grandes del mundo, también somos una de las mayores compañías tecnológicas y de consultoría. Muchas de las compañías de Fortune 50 utilizan IBM Cloud para su negocio. En IBM, nos enorgullece ser pioneros en la adopción de la inteligencia artificial, la computación cuántica y el blockchain. Es hora de unirte a nuestro viaje y convertirte en un innovador de tecnología responsable y contribuir al futuro de nuestra sociedad. Declaración de ubicación El presente llamado se realiza en el marco de la Ley N° 19.691 de Promoción del Trabajo para Personas con Discapacidad, y su Decreto Reglamentario No. 73/019, comprendiendo a las personas inscriptas en el Registro Nacional de Personas con Discapacidad. Se solicita que quienes reúnan las condiciones e idoneidad para el cargo descripto en el presente llamado deberán explicitarlo en su postulación. Siendo tu @ IBM IBM se compromete a crear un ambiente diverso y se enorgullece de ser un empleador que promueve la igualdad de oportunidades. Todos los solicitantes calificados serán considerados para el puesto de trabajo sin importar suraza, color, religión, sexo, identidad o expresión de género, orientación sexual, origen nacional, genética, embarazo, discapacidad, edad, condición de veterano u otras características. IBM también se compromete con el cumplimiento de todas las prácticas de empleo justas en lo que respecta a la ciudadanía y el estado de inmigración.",,,,
112,,,,https://uy.linkedin.com/jobs/view/analista-de-datos-at-nexum-consulting-3654708366?refId=uE20wQpNDfvx64pmq1C3MQ%3D%3D&trackingId=0M4DkeAsJh4oMt1WvpbmPA%3D%3D&position=13&pageNum=4&trk=public_jobs_jserp-result_search-card,,,,,
